DayOfWeek,CallDate,Calls Inbound,Calls Outbound,Calls Inbound Handled,Calls Outbound Handled,Calls Self-Served,Calls Presented,Calls Abandoned,Handle Time - Inbound Average,Handle Time - Outbound Average,Avg.Wait Time,Avg. Wait Time - Abandoned,Avg. Speed To Answer,Avg. Speed To Answer With Transfer
Tuesday,2/4/2014,8141,1608,6643,1153,1323,6755,69,20.5621421,6.86684302,0.47522497,0.84217391,0.47141352,0.59418034
Wednesday,2/5/2014,7262,1804,6151,1277,967,6244,46,21.44499431,6.91545027,0.3597757,0.58869565,0.35806373,0.48646724
Thursday,2/6/2014,7337,1739,6095,1269,1106,6202,37,21.3025681,7.23667455,0.35848801,0.33783784,0.35861339,0.49203643
Friday,2/7/2014,7300,1545,5960,1150,1205,6048,34,21.39790268,7.45307826,0.33611945,0.86147059,0.33312248,0.43856208
Saturday,2/8/2014,701,0,0,0,5,0,0,,,,,,
Sunday,2/9/2014,172,0,0,0,1,0,0,,,,,,
Monday,2/10/2014,11296,3647,8970,2679,2042,9176,100,20.18499108,5.33349011,0.54880265,1.4186,0.53910591,0.62791527
Tuesday,2/11/2014,8846,2735,6960,2025,1655,7119,61,20.8764727,5.85485926,0.44592081,0.78131148,0.44298132,0.54594109
Wednesday,2/12/2014,6988,2184,5558,1573,1251,5685,37,22.56258006,6.24427845,0.32600715,0.25621622,0.32647175,0.42098597
Thursday,2/13/2014,6606,2163,5267,1510,1165,5366,34,21.69115246,6.08192715,0.32885682,0.22088235,0.32955383,0.42828935
Friday,2/14/2014,7295,3293,5582,2552,1454,5766,102,20.93337513,5.5643652,0.77664145,1.5145098,0.76315837,0.87241311
Saturday,2/15/2014,882,0,0,0,5,0,0,,,,,,
Sunday,2/16/2014,249,1,0,0,2,0,0,,,,,,
Monday,2/17/2014,6526,2,0,0,19,0,0,,,,,,
Tuesday,2/18/2014,15252,3115,8712,2347,2431,12706,3951,21.91758609,7.68315296,7.94001658,7.71783599,8.04077824,8.92205349
Wednesday,2/19/2014,10707,4049,7628,2982,1769,8825,1152,21.26679339,5.83287726,4.04652278,4.73336806,3.94279365,4.36243183
Thursday,2/20/2014,8674,4209,6526,3218,1840,6759,173,22.15843396,6.01087321,0.95979549,1.77971098,0.93806007,1.07364542
Friday,2/21/2014,8440,3650,6396,2745,1531,6839,400,21.84637629,6.24901639,1.96777156,3.55505,1.86847357,2.08023616
Saturday,2/22/2014,1215,111,192,101,19,197,2,28.15380208,14.66356436,0.82984536,0.325,0.83510417,0.93864583
Sunday,2/23/2014,209,0,0,0,5,0,0,,,,,,
Monday,2/24/2014,14965,3407,8049,2578,2633,12197,4090,20.66501429,6.80499612,8.54998352,8.20520049,8.72518077,9.7028078
Tuesday,2/25/2014,10998,3598,7116,2646,1909,8971,1795,20.67795784,7.44605442,5.37177104,5.41520891,5.36081237,5.86364582
Wednesday,2/26/2014,9211,4179,6877,3098,1636,7469,532,21.41469245,6.75778567,2.53658119,3.3225,2.47578304,2.72425185
Thursday,2/27/2014,8391,3904,6534,2866,1556,6744,129,21.42161157,6.48825541,0.90877232,2.23534884,0.88258188,1.05080961
Friday,2/28/2014,8307,3862,6168,2902,1573,6633,398,21.45721628,5.76225706,2.08250228,2.43459799,2.05978275,2.28427205
Saturday,3/1/2014,1196,274,188,201,24,208,5,21.39148936,8.73985075,0.56860104,5.416,0.43968085,0.43968085
Sunday,3/2/2014,330,0,0,0,4,0,0,,,,,,
Monday,3/3/2014,12009,2906,6842,2114,2448,9467,2561,22.19416106,6.8301561,7.23484845,7.31370168,7.20533324,7.85824759
Tuesday,3/4/2014,8694,3727,6757,2654,1630,6978,145,21.30303241,6.80207611,0.86231237,1.45903448,0.84950718,0.97237531
Wednesday,3/5/2014,7424,3808,5982,2730,1233,6124,63,21.74957031,6.16751282,0.43265222,0.95079365,0.42719445,0.57664605
Thursday,3/6/2014,7389,4057,5828,3028,1375,5950,49,21.95708991,6.04051519,0.38339119,0.60530612,0.38152539,0.50914207
Friday,3/7/2014,6779,4277,5451,3217,1142,5577,51,21.17168073,5.59518806,0.39489911,0.91372549,0.39004404,0.49244404
Saturday,3/8/2014,790,458,170,393,33,187,6,28.29352941,5.95982188,0.94545455,1.515,0.92535294,0.92905882
Sunday,3/9/2014,158,0,0,0,3,0,0,,,,,,
Monday,3/10/2014,9457,4256,7340,3219,1648,7729,325,20.92928065,5.97125815,1.43118461,3.15443077,1.35488283,1.54400817
Tuesday,3/11/2014,7603,4978,5938,3854,1416,6109,111,22.10980128,4.74505968,0.70020003,1.68369369,0.68181543,0.8258774
Wednesday,3/12/2014,7032,4031,5627,3116,1209,5757,60,22.42324685,6.67499679,0.443821,0.88633333,0.43910254,0.54878799
Thursday,3/13/2014,6878,4198,5420,3179,1254,5539,53,21.71816018,6.33557093,0.43791484,1.12943396,0.4311515,0.54565972
Friday,3/14/2014,7008,4095,5522,3105,1270,5675,78,21.95370947,5.86555233,0.52291302,1.47666667,0.50943851,0.64694258
Saturday,3/15/2014,1040,828,260,663,45,270,4,30.74103846,6.82190045,0.46810606,0.195,0.47230769,0.47230769
Sunday,3/16/2014,209,0,0,0,2,0,0,,,,,,
Monday,3/17/2014,9791,3184,6795,2347,1779,7921,1099,21.36975717,5.17946314,4.39405371,4.75099181,4.33632377,4.80089625
Tuesday,3/18/2014,7155,4033,5536,2974,1424,5666,107,20.5862789,4.171039,0.80714691,1.60196262,0.79178468,0.92253974
Wednesday,3/19/2014,5926,3924,4663,2916,1144,4705,23,21.28346344,3.94876886,0.34692488,0.18347826,0.34773107,0.44232897
Thursday,3/20/2014,5830,4026,4518,3058,1157,4590,49,19.99680168,3.93453564,0.39405299,0.54428571,0.39242364,0.52262727
Friday,3/21/2014,5631,2913,4365,2226,1147,4417,40,20.67418328,4.68141509,0.37160726,0.63975,0.36915006,0.46975029
Saturday,3/22/2014,746,0,0,0,5,0,0,,,,,,
Sunday,3/23/2014,240,0,0,0,8,0,0,,,,,,
Monday,3/24/2014,9663,4091,6689,3072,1948,7606,897,20.24286141,4.03503255,3.86865937,3.94305463,3.85868291,4.07572881
Tuesday,3/25/2014,7566,3984,5824,2816,1539,5940,93,19.66185268,4.59398082,0.58496535,1.0511828,0.5775206,0.68018372
Wednesday,3/26/2014,6339,2618,4928,1789,1253,5018,67,20.48936485,5.34324762,0.48012212,1.91477612,0.46061688,0.5784375
Thursday,3/27/2014,5961,2752,4601,1847,1168,4689,62,19.8268333,5.30871684,0.44501179,1.43241935,0.43170615,0.52673767
Friday,3/28/2014,6285,3371,4885,2378,1183,5027,117,20.1643407,4.81544575,0.80660468,2.16512821,0.7740602,0.90515971
Saturday,3/29/2014,739,0,0,0,8,0,0,,,,,,
Sunday,3/30/2014,260,0,0,0,6,0,0,,,,,,
Monday,3/31/2014,9913,3040,7540,2131,1801,7963,389,18.94385013,5.05393243,1.76196746,2.8440874,1.70613926,1.9167321
Tuesday,4/1/2014,7807,4041,5450,2943,2173,5536,83,21.18841468,4.25889229,0.53637267,2.61951807,0.50464771,0.59162018
Wednesday,4/2/2014,6495,4356,4617,3209,1779,4653,29,21.17959714,4.76539732,0.33015712,0.16310345,0.33120641,0.41512454
Thursday,4/3/2014,6138,4027,4350,2946,1693,4391,33,20.27498851,4.58495927,0.35497376,0.58424242,0.35323448,0.42403678
Friday,4/4/2014,5721,2546,4037,1826,1585,4102,62,20.57270746,5.57581599,0.6124323,2.9683871,0.57624969,0.67547189
Saturday,4/5/2014,477,0,0,0,4,0,0,,,,,,
Sunday,4/6/2014,199,0,0,0,2,0,0,,,,,,
Monday,4/7/2014,8321,4074,5849,3178,2343,5937,81,20.31982048,5.81056639,0.53819224,0.91234568,0.53301077,0.60089759
Tuesday,4/8/2014,6555,4471,4592,3402,1844,4644,48,19.976875,4.87730159,0.46566164,1.99583333,0.44966681,0.52232361
Wednesday,4/9/2014,5626,3357,3990,2599,1508,4065,74,19.90770677,4.36981147,0.66748278,2.95891892,0.62498496,0.69644862
Thursday,4/10/2014,5255,4750,3666,3818,1455,3731,64,20.31597654,4.87399686,0.65038338,4.87625,0.57660938,0.65128751
Friday,4/11/2014,5029,3675,3613,2896,1316,3666,47,19.28052034,4.65239296,0.42911202,0.94042553,0.42246056,0.49431774
Saturday,4/12/2014,434,0,0,0,7,0,0,,,,,,
Sunday,4/13/2014,172,0,0,0,3,0,0,,,,,,
Monday,4/14/2014,8111,4688,5260,3668,2264,5776,517,20.49760981,4.69151309,3.08333622,3.50098646,3.042278,3.15774862
Tuesday,4/15/2014,6806,3992,4668,3036,1975,4764,94,19.44259426,4.74666996,0.89884502,1.92893617,0.87810197,0.95162596
Wednesday,4/16/2014,5831,4405,4190,3410,1529,4239,45,19.19178282,4.44130792,0.48369067,0.66266667,0.4817685,0.54381623
Thursday,4/17/2014,5573,3322,3934,2486,1509,3996,55,18.82087951,4.48698311,0.43666082,0.60890909,0.43425267,0.49723945
Friday,4/18/2014,4385,2489,3146,1864,1184,3166,17,18.36478703,4.22668455,0.28900411,0.23941176,0.28927209,0.34157978
Saturday,4/19/2014,422,0,0,0,5,0,0,,,,,,
Sunday,4/20/2014,71,0,0,0,6,0,0,,,,,,
Monday,4/21/2014,8324,4590,5185,3631,2205,6043,844,19.46790935,4.40632333,4.36472881,4.36593602,4.3645323,4.50784764
Tuesday,4/22/2014,6538,3311,4521,2535,1761,4714,186,18.16286441,4.25832742,1.49917994,2.79870968,1.44571555,1.52031409
Wednesday,4/23/2014,5568,3724,4053,2863,1425,4080,24,18.9715396,3.77378624,0.4227275,0.485,0.42235875,0.4810116
Thursday,4/24/2014,5252,3434,3791,2651,1370,3827,26,18.35761013,3.91964542,0.34199371,0.43730769,0.34134002,0.39870483
Friday,4/25/2014,5054,3025,3581,2287,1385,3621,37,17.55817369,4.02524705,0.4444168,1.10351351,0.43760681,0.48675789
Saturday,4/26/2014,454,0,0,0,4,0,0,,,,,,
Sunday,4/27/2014,183,0,0,0,2,0,0,,,,,,
Monday,4/28/2014,7891,3340,4901,2606,2106,5713,810,19.29177923,4.02891788,4.04273857,4.00067901,4.04968986,4.19287288
Tuesday,4/29/2014,5986,4106,4237,3060,1576,4355,113,19.81404768,4.29536601,1.00821379,2.36274336,0.97208874,1.03762804
Wednesday,4/30/2014,5092,3466,3705,2621,1277,3747,33,20.51196544,3.74704693,0.3998555,1.57878788,0.38935205,0.45584773
Thursday,5/1/2014,5342,3123,3972,2374,1267,4026,44,27.6118429,4.07171019,0.44514193,1.06795455,0.4382427,0.53421702
Friday,5/2/2014,5047,3784,3772,2982,1175,3812,29,25.52018028,3.82707579,0.37340174,0.70137931,0.37088017,0.45052492
Saturday,5/3/2014,377,0,0,0,3,0,0,,,,,,
Sunday,5/4/2014,157,0,0,0,1,0,0,,,,,,
Monday,5/5/2014,7698,2904,5478,2137,1882,5729,246,26.45322198,4.54092653,1.24535639,2.66808943,1.18146586,1.33258854
Tuesday,5/6/2014,6307,4122,4665,3178,1519,4723,52,26.69344051,3.76468219,0.50715709,0.82769231,0.50358414,0.65612862
Wednesday,5/7/2014,5360,2861,4066,2099,1219,4093,27,28.44011559,4.10440686,0.34444906,1.10814815,0.33937777,0.53588047
Thursday,5/8/2014,5087,2969,3864,2105,1112,3922,55,28.80882992,4.14990499,0.46903267,1.38236364,0.45602899,0.59517732
Friday,5/9/2014,5152,2509,3836,1852,1196,3915,77,29.54086027,3.93617171,0.69522106,2.1312987,0.66639468,0.81557091
Saturday,5/10/2014,358,1,0,0,3,0,0,,,,,,
Sunday,5/11/2014,111,0,0,0,1,0,0,,,,,,
Monday,5/12/2014,7125,2216,5068,1655,1712,5324,254,27.15367601,4.76977039,1.59466742,2.46767717,1.55091358,1.68039069
Tuesday,5/13/2014,5434,2574,4042,1971,1237,4151,106,28.73469817,4.38315068,0.90762054,1.38188679,0.89518308,1.08501484
Wednesday,5/14/2014,5133,2746,3884,1985,1152,3926,42,29.59446304,4.35392947,0.45083567,1.02928571,0.44457893,0.68298996
Thursday,5/15/2014,5392,2179,3983,1590,1278,4070,83,28.4708235,3.73128931,0.84044515,1.38,0.82920161,1.02955812
Friday,5/16/2014,5309,2972,3762,2029,1256,4012,248,29.19749335,3.44605717,2.0137207,3.16806452,1.9376236,2.14611909
Saturday,5/17/2014,446,0,0,0,7,0,0,,,,,,
Sunday,5/18/2014,145,0,0,0,3,0,0,,,,,,
Monday,5/19/2014,8126,2779,5022,1940,1927,6111,1088,25.6595002,3.89422165,4.77820622,5.02125,4.72555157,5.19249104
Tuesday,5/20/2014,5647,4063,4145,2730,1367,4221,76,29.00265139,3.45632601,0.63579484,1.51473684,0.61967913,0.76728106
Wednesday,5/21/2014,4849,3107,3675,2173,1105,3695,18,29.10259864,3.64467556,0.31666396,0.55722222,0.31548571,0.48668571
Thursday,5/22/2014,4972,4323,3703,3061,1181,3734,29,28.83324602,3.58131656,0.36780011,0.87034483,0.36386443,0.68348636
Friday,5/23/2014,4934,2354,3675,1687,1154,3741,67,29.18743332,4.23409603,0.73645282,2.1161194,0.71129287,0.92338868
Saturday,5/24/2014,315,0,0,0,3,0,0,,,,,,
Sunday,5/25/2014,114,0,0,0,1,0,0,,,,,,
Monday,5/26/2014,320,0,0,0,3,0,0,,,,,,
Tuesday,5/27/2014,6738,3310,5016,2348,1569,5098,79,27.80959729,3.99474872,0.58989794,1.1321519,0.58135766,0.69213517
Wednesday,5/28/2014,5359,2954,4018,2054,1249,4050,29,30.2759557,3.50815969,0.36392637,0.48793103,0.36303136,0.53144102
Thursday,5/29/2014,4892,3282,3663,2165,1147,3689,25,30.13982528,4.20457737,0.37300976,0.9208,0.36927109,0.52323505
Friday,5/30/2014,4542,2621,3411,1713,1037,3445,29,29.84058927,4.35455925,0.44265116,1.13413793,0.43677221,0.59126942
Saturday,5/31/2014,339,0,0,0,5,0,0,,,,,,
Sunday,6/1/2014,126,0,0,0,1,0,0,,,,,,
Monday,6/2/2014,6279,4335,4572,2954,1550,4658,84,25.97205818,3.64437035,0.74431916,1.94845238,0.72219598,0.81067804
Tuesday,6/3/2014,4979,2980,3577,1987,1307,3615,36,27.61558289,4.06165576,0.37333518,0.71666667,0.36987979,0.4544898
Wednesday,6/4/2014,5223,3397,3811,2365,1301,3853,40,27.628381,4.08466808,0.38154246,0.57175,0.37954605,0.56970349
Thursday,6/5/2014,4861,2625,3659,1800,1117,3683,24,28.21911427,4.06625556,0.33149919,0.26666667,0.33192455,0.46338163
Friday,6/6/2014,4545,2460,3404,1596,1050,3441,37,28.60148398,4.45092732,0.46577616,0.83054054,0.46181017,0.59345284
Saturday,6/7/2014,296,0,0,0,3,0,0,,,,,,
Sunday,6/8/2014,100,0,0,0,4,0,0,,,,,,
Monday,6/9/2014,6081,2484,4472,1727,1474,4539,66,26.72817084,3.85760278,0.58380784,0.965,0.57818202,0.69285331
Tuesday,6/10/2014,4976,2893,3678,1916,1170,3772,93,27.81528004,3.95879436,0.84969769,1.3955914,0.83589451,0.95473083
Wednesday,6/11/2014,4567,3558,3350,2439,1119,3387,37,28.42453433,3.62496105,0.44537349,1.87648649,0.42956716,0.55868358
Thursday,6/12/2014,4205,2804,3127,1886,1002,3159,32,29.35604413,3.77264051,0.38487496,0.4328125,0.38438439,0.58657179
Friday,6/13/2014,4452,2344,3336,1498,1051,3368,33,29.21362519,4.30650868,0.45710511,0.69575758,0.45474363,0.60116342
Saturday,6/14/2014,365,0,0,0,1,0,0,,,,,,
Sunday,6/15/2014,83,0,0,0,3,0,0,,,,,,
Monday,6/16/2014,6033,2315,4249,1517,1624,4328,79,24.03192987,3.83633487,0.82591035,1.28506329,0.8173735,0.91497293
Tuesday,6/17/2014,4709,2872,3384,1933,1267,3405,20,25.95932624,3.77237972,0.32847239,0.279,0.32876478,0.424013
Wednesday,6/18/2014,4289,1495,3125,976,1062,3167,41,28.115408,4.29913934,0.37921352,1.28512195,0.367328,0.5217472
Thursday,6/19/2014,3983,2867,2897,1969,1010,2928,31,26.70293062,3.90578974,0.4350888,0.73,0.43193303,0.52683466
Friday,6/20/2014,3964,1432,2909,983,995,2936,24,27.01745273,4.79209563,0.39527446,0.55708333,0.3939395,0.50812307
Saturday,6/21/2014,232,0,0,0,3,0,0,,,,,,
Sunday,6/22/2014,98,0,0,0,2,0,0,,,,,,
Monday,6/23/2014,5850,2596,3943,1701,1735,4063,119,24.56449518,4.08753086,1.00345974,2.57941176,0.95588534,1.07576611
Tuesday,6/24/2014,4388,2470,3105,1603,1174,3172,67,25.12468277,3.84113537,0.77718474,3.50597015,0.71830274,0.9492818
Wednesday,6/25/2014,3984,1709,2868,1113,1040,2908,40,23.88107392,4.72824798,0.5578989,1.39225,0.5462622,0.76170851
Thursday,6/26/2014,3977,2632,2822,1772,1070,2880,59,23.74121943,3.43158578,0.68236458,1.9640678,0.65555831,0.79332152
Friday,6/27/2014,4055,1941,2944,1340,997,3023,78,23.7585428,4.09899254,1.06354401,1.87230769,1.04211617,1.22848505
Saturday,6/28/2014,309,0,0,0,2,0,0,,,,,,
Sunday,6/29/2014,89,0,0,0,2,0,0,,,,,,
Monday,6/30/2014,5943,2387,4049,1559,1476,4408,359,22.93370956,4.43694676,2.48867514,3.50300836,2.39874043,2.6250037
Tuesday,7/1/2014,4531,1479,3143,1016,1284,3206,63,23.94768374,5.04401575,0.84054897,1.60587302,0.8252084,0.95188991
Wednesday,7/2/2014,3853,1311,2730,826,1053,2753,22,23.72877289,4.12359564,0.45105741,0.64636364,0.44948352,0.60129304
Thursday,7/3/2014,3506,1422,2346,997,1093,2373,27,23.03359335,3.86955868,0.642933,1.02518519,0.63853367,0.76393436
Friday,7/4/2014,203,0,0,0,2,0,0,,,,,,
Saturday,7/5/2014,322,0,0,0,3,0,0,,,,,,
Sunday,7/6/2014,123,0,0,0,2,0,0,,,,,,
Monday,7/7/2014,7137,1405,4045,959,2003,5057,1011,23.37296415,4.50828989,5.69454114,5.19880317,5.81844499,6.13667738
Tuesday,7/8/2014,5082,1287,3464,888,1349,3671,207,23.84675231,4.97581081,1.87217107,3.22120773,1.791556,1.98801674
Wednesday,7/9/2014,4284,1418,3082,953,1114,3120,38,23.57645685,4.40823715,0.53124679,0.89157895,0.52680402,0.6653926
Thursday,7/10/2014,4151,1993,2911,1308,1126,2978,68,23.41713746,4.64629205,0.93832438,1.24705882,0.93110997,1.06986254
Friday,7/11/2014,3797,1354,2704,890,949,2789,85,23.78457101,5.37497753,1.11760488,2.07764706,1.08742604,1.29023299
Saturday,7/12/2014,395,0,0,0,6,0,0,,,,,,
Sunday,7/13/2014,153,0,0,0,2,0,0,,,,,,
Monday,7/14/2014,6901,1438,4247,986,1764,5043,795,23.08524606,5.42585193,4.50639825,4.18178616,4.5671627,4.85619025
Tuesday,7/15/2014,5650,1906,3681,1390,1656,3911,229,21.35644662,4.57502158,1.75413811,2.18231441,1.72750068,1.87990763
Wednesday,7/16/2014,4818,2611,3383,1842,1250,3480,96,22.79338457,3.75054832,1.0617735,1.74270833,1.04245049,1.15574933
Thursday,7/17/2014,4419,2356,2972,1669,1254,3068,96,21.82804172,4.09963451,1.13768905,3.3846875,1.06510767,1.17771198
Friday,7/18/2014,4281,1880,2855,1339,1170,3038,183,23.18881961,4.10328603,2.12211652,3.32666667,2.04490718,2.18210158
Saturday,7/19/2014,419,0,0,0,4,0,0,,,,,,
Sunday,7/20/2014,145,0,0,0,0,0,0,,,,,,
Monday,7/21/2014,6745,2485,3944,1756,1815,4853,909,22.72656947,4.66789863,5.17640429,5.04652365,5.20633874,5.43430781
Tuesday,7/22/2014,5283,2343,3420,1624,1517,3681,262,22.24617432,3.69754926,2.14955447,3.01374046,2.08333138,2.24100614
Wednesday,7/23/2014,4403,2356,3099,1601,1167,3182,83,22.3834011,4.73894441,0.93461659,2.30819277,0.89782833,0.99646983
Thursday,7/24/2014,4192,2053,2914,1428,1161,2962,50,22.69076236,4.95229692,0.57373734,1.276,0.56167926,0.7284478
Friday,7/25/2014,4085,2282,2850,1566,1074,2968,119,22.26338715,4.40028097,1.35296833,3.28537815,1.27225342,1.46945946
Saturday,7/26/2014,354,0,0,0,4,0,0,,,,,,
Sunday,7/27/2014,112,0,0,0,5,0,0,,,,,,
Monday,7/28/2014,6751,2156,4053,1500,1626,5080,1027,23.45370836,5.07946667,5.75297835,5.54177215,5.80649642,6.06705897
Tuesday,7/29/2014,5676,2644,3786,1877,1345,4276,490,20.43170893,4.75574321,4.23471936,4.22320408,4.23620972,4.39050977
Wednesday,7/30/2014,4515,1479,3160,959,1032,3432,272,22.6270981,5.44104275,2.66577214,3.53227941,2.59118671,2.79093987
Thursday,7/31/2014,4808,1145,3211,774,1021,3718,507,21.2835939,5.01887597,4.40866057,6.34633136,4.10271255,4.30860791
Friday,8/1/2014,5650,1522,2946,1092,1753,3844,898,20.91082485,3.80313187,6.89876691,6.07388641,7.15020706,7.41741005
Saturday,8/2/2014,452,0,0,0,0,0,0,,,,,,
Sunday,8/3/2014,162,0,0,0,1,0,0,,,,,,
Monday,8/4/2014,8400,2044,3980,1388,2649,5687,1707,22.91501005,4.64712536,8.48188852,7.50257176,8.90191206,9.25631407
Tuesday,8/5/2014,5377,2270,3339,1628,1601,3720,381,22.76147948,4.21391278,3.1171371,3.21790026,3.10563941,3.23820006
Wednesday,8/6/2014,4412,1305,2864,909,1348,3015,150,22.54414455,5.41640264,1.89469144,2.68613333,1.85324022,1.97488128
Thursday,8/7/2014,4320,2008,2815,1474,1285,2995,180,22.09418472,4.10337856,2.07182638,4.43227778,1.92089165,2.06654707
Friday,8/8/2014,4155,2065,2597,1443,1269,2860,263,22.50286099,4.1964657,2.50715385,5.3773384,2.21648826,2.35643435
Saturday,8/9/2014,382,0,0,0,9,0,0,,,,,,
Sunday,8/10/2014,140,0,0,0,6,0,0,,,,,,
Monday,8/11/2014,6528,2153,3749,1485,1969,4493,744,23.60013604,4.39455219,4.65702426,4.50727151,4.68674313,4.88511336
Tuesday,8/12/2014,5039,1951,3147,1383,1544,3440,293,23.11421036,4.21720174,2.59377616,3.90112628,2.47205593,2.63152526
Wednesday,8/13/2014,4399,1583,3001,1100,1223,3133,132,24.61308897,5.06974545,1.29142994,2.75727273,1.22695435,1.3798967
Thursday,8/14/2014,3942,1636,2598,1094,1183,2711,113,23.46634719,4.23223035,1.54485061,3.48265487,1.46056582,1.59701309
Friday,8/15/2014,4327,1749,2710,1227,1241,3049,339,22.436,3.81166259,3.06231551,4.18212389,2.92223616,3.17645387
Saturday,8/16/2014,402,0,0,0,4,0,0,,,,,,
Sunday,8/17/2014,127,0,0,0,1,0,0,,,,,,
Monday,8/18/2014,7183,1855,4238,1302,2066,5033,795,23.11434639,4.35473118,4.8530757,5.05627673,4.81495753,5.0203563
Tuesday,8/19/2014,5797,1337,3562,947,1567,4194,632,23.52990174,5.45423442,4.35468765,4.26382911,4.37080853,4.55526951
Wednesday,8/20/2014,4646,2196,3197,1538,1317,3280,83,22.43968095,3.85544213,1.21384451,1.90385542,1.19593056,1.28131373
Thursday,8/21/2014,4713,1719,3184,1220,1373,3305,121,21.54185616,4.31017213,1.06943419,2.51719008,1.01441583,1.15026696
Friday,8/22/2014,5227,1485,3285,1057,1407,3781,496,21.86590868,4.82221381,3.26200212,3.88096774,3.1685449,3.35601218
Saturday,8/23/2014,455,0,0,0,6,0,0,,,,,,
Sunday,8/24/2014,146,0,0,0,1,0,0,,,,,,
Monday,8/25/2014,8172,1937,4485,1419,2096,5989,1504,21.89334225,3.72622269,6.67690599,6.83821144,6.62281382,6.87672241
Tuesday,8/26/2014,5874,1560,3537,1074,1545,4279,742,22.17110546,4.50663873,4.30660201,4.1182345,4.34611818,4.52637546
